"component","deltamz","deltamz_int","EdgeScore","EdgeType","interaction","matched_peaks","name","scan1","scan2","score","selected","shared interaction","shared name"
"47","-30.011","-30","0.7146","Cosine","-","0","22754 (-) 21972","22754","21972","0.7146","false","-","22754 (-) 21972"
"51","70.99","70","0.7632","Cosine","-","0","13515 (-) 15957","13515","15957","0.7632","false","-","13515 (-) 15957"
"51","-136.042","-136","0.762","Cosine","-","0","13515 (-) 15857","13515","15857","0.762","false","-","13515 (-) 15857"
"353","13.977","13","0.7868","Cosine","-","0","12742 (-) 15465","12742","15465","0.7868","false","-","12742 (-) 15465"
"353","15.994","15","0.804","Cosine","-","0","12742 (-) 16952","12742","16952","0.804","false","-","12742 (-) 16952"
"353","2.016","2","0.7743","Cosine","-","0","12742 (-) 11265","12742","11265","0.7743","false","-","12742 (-) 11265"
"80","-180.08","-180","0.8395","Cosine","-","0","11355 (-) 5889","11355","5889","0.8395","false","-","11355 (-) 5889"
"80","79.957","79","0.8918","Cosine","-","0","11355 (-) 13662","11355","13662","0.8918","false","-","11355 (-) 13662"
"80","49.946","49","0.7749","Cosine","-","0","11355 (-) 13241","11355","13241","0.7749","false","-","11355 (-) 13241"
"80","-142.096","-142","0.7985","Cosine","-","0","11355 (-) 17265","11355","17265","0.7985","false","-","11355 (-) 17265"
"449","-44.023","-44","0.9034","Cosine","-","0","16851 (-) 17134","16851","17134","0.9034","false","-","16851 (-) 17134"
"449","-132.081","-132","0.8769","Cosine","-","0","16851 (-) 15751","16851","15751","0.8769","false","-","16851 (-) 15751"
"449","-176.106","-176","0.9123","Cosine","-","0","16851 (-) 15468","16851","15468","0.9123","false","-","16851 (-) 15468"
"449","-308.183","-308","0.9082","Cosine","-","0","16851 (-) 14498","16851","14498","0.9082","false","-","16851 (-) 14498"
"449","-440.26","-440","0.8943","Cosine","-","0","16851 (-) 13491","16851","13491","0.8943","false","-","16851 (-) 13491"
"449","-220.131","-220","0.9058","Cosine","-","0","16851 (-) 15129","16851","15129","0.9058","false","-","16851 (-) 15129"
"449","-88.055","-88","0.9154","Cosine","-","0","16851 (-) 16191","16851","16191","0.9154","false","-","16851 (-) 16191"
"449","-352.208","-352","0.8829","Cosine","-","0","16851 (-) 14228","16851","14228","0.8829","false","-","16851 (-) 14228"
"71","-88.053","-88","0.9629","Cosine","-","0","23925 (-) 24724","23925","24724","0.9629","false","-","23925 (-) 24724"
"71","-44.03","-44","0.9681","Cosine","-","0","23925 (-) 23499","23925","23499","0.9681","false","-","23925 (-) 23499"
